Дата;сбор;грязь;насечка
22.01.2020;615700;9000;3510
23.01.2020;612100;9720;3870
24.01.2020;611100;9720;3610
25.01.2020;601290;4680;4050
26.01.2020;617100;12600;4010
27.01.2020;608800;10440;4590
28.01.2020;611100;10440;4530
29.01.2020;604900;10080;3380
30.01.2020;608700;9720;3590
31.01.2020;610600;10800;3890
01.02.2020;612200;11160;3020
02.02.2020;621500;9360;2900
03.02.2020;588750;10800;3730
04.02.2020;641500;11160;3260
05.02.2020;629000;9720;3850
06.02.2020;607930;11160;3000
07.02.2020;623740;10080;3150
08.02.2020;618400;11880;2420
09.02.2020;627900;10440;3730
10.02.2020;623480;10440;2890
11.02.2020;619200;10440;4430
12.02.2020;615960;8640;4340
13.02.2020;616770;9720;3450
14.02.2020;620120;11160;5100
15.02.2020;617800;11880;3880
16.02.2020;617300;10440;2560
17.02.2020;603300;9360;4290
18.02.2020;618380;12240;4100
19.02.2020;618440;13680;3380
20.02.2020;600800;11880;3380
21.02.2020;602700;11520;3690
22.02.2020;612700;11520;3770
23.02.2020;601800;10440;3660
24.02.2020;608900;8640;3650
25.02.2020;610680;9370;3600
26.02.2020;609800;9350;3370
27.02.2020;587840;10440;3170
28.02.2020;589340;9000;3130
29.02.2020;601200;12960;3040
01.03.2020;613400;12960;3130
02.03.2020;603900;7920;2870
03.03.2020;609100;10800;3740
04.03.2020;622750;8280;2890
05.03.2020;587300;10440;3610
06.03.2020;614600;9720;3700
07.03.2020;623300;11520;3190
08.03.2020;615500;9720;3770
09.03.2020;631600;9720;3600
10.03.2020;613400;11160;3860
11.03.2020;622000;10080;3610
12.03.2020;635000;10800;3680
13.03.2020;605800;11520;3200
14.03.2020;615000;10080;3570
15.03.2020;625360;13680;3270
16.03.2020;640200;12600;3400
17.03.2020;628300;10080;3400
18.03.2020;642800;10080;3020
19.03.2020;621500;10440;3070
20.03.2020;630800;9720;4290
21.03.2020;636500;12240;3430
22.03.2020;638500;12600;2700
23.03.2020;643900;11160;4380
24.03.2020;646900;10440;3590
25.03.2020;643300;7920;4200
26.03.2020;649400;8280;5340
27.03.2020;651300;7200;4740
28.03.2020;654100;9360;4660
29.03.2020;651200;8280;4810
30.03.2020;654400;10080;5210
31.03.2020;659600;7200;4740
01.04.2020;654100;7560;4400
02.04.2020;661890;7560;4870
03.04.2020;658300;7560;4630
04.04.2020;666100;10080;4100
05.04.2020;667300;9720;4320
06.04.2020;654340;7560;5610
07.04.2020;662550;7560;5250
08.04.2020;667900;9720;5640
09.04.2020;660550;11880;4110
10.04.2020;654430;8280;5360
11.04.2020;658500;11520;4760
12.04.2020;661400;12960;4200
13.04.2020;663730;11160;5850
14.04.2020;660000;10800;5590
15.04.2020;668660;10080;4760
16.04.2020;641240;9720;5020
17.04.2020;635940;11160;4130
18.04.2020;652100;12960;4400
19.04.2020;663100;12240;5670
20.04.2020;632320;5760;4630
21.04.2020;664890;14760;4620
22.04.2020;635580;14400;4290
23.04.2020;637560;10800;4890
24.04.2020;645650;10440;4870
25.04.2020;636600;13680;4370
26.04.2020;633000;12960;4220
27.04.2020;651350;11880;5200
28.04.2020;630430;10440;4770
29.04.2020;640800;9720;4970
30.04.2020;634490;9720;5180
